video_id,label
0782,1
0603,1
0094,0
0241,0
0592,1
0539,1
0473,1
0783,1
0604,1
0009,0
0532,1
0088,0
0523,1
0299,0
0417,1
0458,1
0423,1
0795,1
0283,0
0581,1
0717,1
0678,1
0300,0
0330,0
0409,1
0745,1
0081,0
0381,0
0636,1
0373,0
0130,0
0223,0
0794,1
0560,1
0150,0
0384,0
0595,1
0555,1
0648,1
0407,1
0243,0
0433,1
0704,1
0413,1
0774,1
0249,0
0757,1
0245,0
0160,0
0701,1
0549,1
0310,0
0763,1
0756,1
0568,1
0514,1
0027,0
0547,1
0005,0
0761,1
0668,1
0566,1
0137,0
0118,0
0025,0
0281,0
0661,1
0637,1
0491,1
0614,1
0739,1
0478,1
0590,1
0153,0
0598,1
0229,0
0066,0
0032,0
0422,1
0020,0
0790,1
0352,0
0533,1
0053,0
0374,0
0258,0
0475,1
0741,1
0496,1
0208,0
0292,0
0351,0
0715,1
0272,0
0674,1
0282,0
0597,1
0643,1
0303,0
0391,0
0170,0
0443,1
0486,1
0773,1
0753,1
0660,1
0608,1
0524,1
0307,0
0143,0
0471,1
0714,1
0781,1
0585,1
0008,0
0544,1
0788,1
0173,0
0548,1
0332,0
0538,1
0103,0
0196,0
0045,0
0060,0
0289,0
0615,1
0166,0
0619,1
0377,0
0621,1
0305,0
0679,1
0630,1
0058,0
0251,0
0165,0
0018,0
0259,0
0246,0
0722,1
0505,1
0438,1
0096,0
0306,0
0467,1
0796,1
0612,1
0120,0
0286,0
0506,1
0323,0
0037,0
0017,0
0372,0
0488,1
0573,1
0481,1
0583,1
0500,1
0076,0
0662,1
0347,0
0683,1
0044,0
0237,0
0553,1
0688,1
0265,0
0141,0
0010,0
0652,1
0429,1
0451,1
0336,0
0171,0
0145,0
0799,1
0738,1
0749,1
0072,0
0697,1
0639,1
0174,0
0663,1
0736,1
0448,1
0507,1
0527,1
0529,1
0073,0
0625,1
0545,1
0099,0
0225,0
0631,1
0055,0
0022,0
0629,1
0508,1
0775,1
0645,1
0041,0
0228,0
0220,0
0780,1
0440,1
0021,0
0732,1
0364,0
0430,1
0324,0
0357,0
0102,0
0610,1
0189,0
0607,1
0264,0
0720,1
0054,0
0530,1
0658,1
0536,1
0012,0
0616,1
0007,0
0146,0
0206,0
0437,1
0766,1
0789,1
0269,0
0132,0
0628,1
0669,1
0370,0
0212,0
0601,1
0414,1
0755,1
0358,0
0793,1
0618,1
0287,0
0199,0
0724,1
0541,1
0074,0
0186,0
0349,0
0151,0
0518,1
0133,0
0680,1
0691,1
0014,0
0447,1
0431,1
0290,0
0392,0
0647,1
0501,1
0620,1
0605,1
0183,0
0177,0
0435,1
0068,0
0236,0
0706,1
0157,0
0703,1
0734,1
0747,1
0463,1
0205,0
0589,1
0624,1
0403,1
0148,0
0494,1
0534,1
0572,1
0296,0
0136,0
0402,1
0187,0
0131,0
0664,1
0386,0
0695,1
0654,1
0689,1
0791,1
0195,0
0035,0
0179,0
0255,0
0318,0
0571,1
0214,0
0487,1
0092,0
0389,0
0126,0
0219,0
0013,0
0267,0
0396,0
0104,0
0705,1
0465,1
0439,1
0082,0
0483,1
0713,1
0513,1
0635,1
0238,0
0767,1
0380,0
0061,0
0428,1
0690,1
0040,0
0502,1
0470,1
0716,1
0718,1
0085,0
0291,0
0203,0
0525,1
0121,0
0117,0
0112,0
0754,1
0201,0
0342,0
0339,0
0311,0
0709,1
0712,1
